Scheduler 	Lambda 		AvgTs	 AvgTurnaround 	TotalThruput	CPU Util	Avg#ProcsInQ 	Quantum
---------------------------------------------------------------------------------------------------------------
RR()		1     		0.06	0.1472028	    1.26048	    0.0599985	1.390345	0.2
RR()		2     		0.06	0.1468693	    2.521703	0.1199945	2.792234	0.2
RR()		3     		0.06	0.1473877	    3.782297	0.1799573	4.213313	0.2
RR()		4     		0.06	0.1288877	    5.044123	0.2399843	5.574886	0.2
RR()		5     		0.06	0.1174521	    6.306146	0.3000166	6.881463	0.2
RR()		6     		0.06	0.1161556	    7.567622	0.3599943	8.341907	0.2
RR()		7     		0.06	0.1159918	    8.830294	0.4199202	9.697264	0.2
RR()		8     		0.06	0.1055053	    10.09349	0.4799724	10.98991	0.2
RR()		9     		0.06	0.1257161	    11.35495	0.5398917	12.40976	0.2
RR()		10     		0.06	0.1357111	    11.89421	0.6368328	0.02325581	0.2
RR()		11     		0.06	0.1453573	    11.92742	0.6768328	0.02325581	0.2
RR()		12     		0.06	0.5594254	    11.96111	0.7168328	0.02325581	0.2
RR()		13     		0.06	0.7595532	    12.91242	0.7468328	0.02325581	0.2
RR()		14     		0.06	0.3686541	    14.01604	0.8768328	0.02325581	0.2
RR()		15     		0.06	0.4517767	    14.83232	0.8968328	0.02325581	0.2
RR()		16     		0.06	2.3414335	    15.94611	0.9168328	0.02325581	0.2
RR()		17     		0.06	2.5923447	    16.78142	0.9468328	0.02325581	0.2
RR()		18     		0.06	19.822418	    16.81532	0.9566428	0.02325581	0.2
RR()		19     		0.06	42.335339	    16.70222	0.9668328	0.02325581	0.2
RR()      	20	        0.06	54.58422	    16.37342	0.943211	0.02421211	0.2
RR()		21     		0.06	60.84713	    16.58818	0.9388177	0.02985075	0.2
RR()		22     		0.06	69.41098	    16.63919	0.9302589	0.009983361	0.2
RR()		23     		0.06	80.10213	    16.56933	0.9119415	0.01986755	0.2
RR()		24     		0.06	86.99113	    16.65706	0.9080895	0.01996672	0.2
RR()		25     		0.06	95.24393	    16.6352	    0.9030094	0.01661129	0.2
RR()		26     		0.06	102.3882	    16.65858	0.8968176	0.01164725	0.2
RR()		27     		0.06	108.7036	    16.60066	0.8846294	8.358209	0.2
RR()		28     		0.06	115.3804	    16.61069	0.8743597	8.578773	0.2
RR()		29     		0.06	120.8683	    16.66018	0.8800825	3716.25	    0.2
RR()		30     		0.06	126.072	        16.57626	0.8678623	4123.1392	0.2


Scheduler 	Lambda 		    AvgTs	        AvgTurnaround 	TotalThruput	CPU Util	Avg#ProcsInQ 	Quantum
---------------------------------------------------------------------------------------------------------------

RR       	   1.0	          0.06	            0.038	     1.001	    0.06	         0.094	    0.2
RR       	   2.0	          0.06	            0.061	     2.013	    0.12	         0.167	    0.2
RR       	   3.0	          0.06	            0.074	      3.02	   0.179	         0.261	    0.2
RR       	   4.0	          0.06	            0.083	     3.988	   0.239	         0.362	    0.2
RR       	   5.0	          0.06	            0.094	     5.016	     0.3	         0.501	    0.2
RR       	   6.0	          0.06	            0.108	     6.045	   0.364	         0.694	    0.2
RR       	   7.0	          0.06	            0.115	     6.925	   0.414	         0.815	    0.2
RR       	   8.0	          0.06	            0.132	     8.058	   0.478	         1.077	    0.2
RR       	   9.0	          0.06	            0.148	     8.905	   0.532	         1.331	    0.2
RR       	  10.0	          0.06	            0.174	      9.89	   0.597	          1.72	    0.2
RR       	  11.0	          0.06	            0.199	    10.927	   0.653	         2.193	    0.2
RR       	  12.0	          0.06	            0.263	    11.961	   0.723	         3.159	    0.2
RR       	  13.0	          0.06	            0.309	    12.912	   0.777	         3.976	    0.2
RR       	  14.0	          0.06	            0.368	    14.016	   0.839	         5.074	    0.2
RR       	  15.0	          0.06	            0.451	    14.832	   0.865	         6.679	    0.2
RR       	  16.0	          0.06	            2.341	    15.946	   0.961	        37.765	    0.2
RR       	  17.0	          0.06	             2.59	    16.781	   0.993	        43.645	    0.2
RR       	  18.0	          0.06	            19.82	    16.815	   1.064	       359.809	    0.2
RR       	  19.0	          0.06	           42.335	    16.702	   1.151	       822.239	    0.2
RR       	  20.0	          0.06	            54.58	    16.373	   1.212	      1095.877	    0.2
RR       	  21.0	          0.06	           65.136	    16.662	   1.272	      1399.414	    0.2
RR       	  22.0	          0.06	           69.178	    16.662	   1.298	       1517.53	    0.2
RR       	  23.0	          0.06	           87.916	    16.227	   1.408	      2051.457	    0.2
RR       	  24.0	          0.06	           89.502	    16.756	   1.428	      2144.865	    0.2
RR       	  25.0	          0.06	          105.924	    16.218	   1.523	      2693.244	    0.2
RR       	  26.0	          0.06	          108.807	    16.449	   1.562	      2840.149	    0.2
RR       	  27.0	          0.06	            120.6	    16.429	   1.646	      3330.471	    0.2
RR       	  28.0	          0.06	          116.754	     16.75	    1.68	      3286.999	    0.2
RR       	  29.0	          0.06	          127.596	    16.459	    1.72	       3716.25	    0.2
RR       	  30.0	          0.06	          138.792	    16.413	   1.825	      4217.139	    0.2









