Scheduler	Lambda	AvgST	AvgTA	TotalTP	CPU Util	Avg#ProcsInQ	Quantum
------------------------------------------------------------------------------------
FCFS()	1.0	0.06	0.06	0.996	0.06	0.06	0
FCFS()	2.0	0.06	0.07	2.027	0.12	0.13	0
FCFS()	3.0	0.06	0.07	2.994	0.18	0.2	0
FCFS()	4.0	0.06	0.08	3.973	0.24	0.32	0
FCFS()	5.0	0.06	0.09	4.954	0.3	0.43	0
FCFS()	6.0	0.06	0.09	6.03	0.36	0.55	0
FCFS()	7.0	0.06	0.1	6.935	0.42	0.73	0
FCFS()	8.0	0.06	0.11	7.955	0.47	0.9	0
FCFS()	9.0	0.06	0.13	9.04	0.54	1.15	0
FCFS()	10.0	0.06	0.16	10.137	0.61	1.58	0
FCFS()	11.0	0.06	0.18	10.991	0.65	1.92	0
FCFS()	12.0	0.06	0.21	12.045	0.71	2.5	0
FCFS()	13.0	0.06	0.29	13.242	0.8	3.84	0
FCFS()	14.0	0.06	0.39	14.123	0.85	5.52	0
FCFS()	15.0	0.06	0.58	15.057	0.91	8.75	0
FCFS()	16.0	0.06	0.64	16.041	0.94	10.09	0
FCFS()	17.0	0.06	10.12	17.099	0.99	171.99	0
FCFS()	18.0	0.06	26.07	18.246	1.0	472.31	0
FCFS()	19.0	0.06	31.82	19.19	1.0	611.71	0
FCFS()	20.0	0.06	40.3	20.074	1.0	811.28	0
FCFS()	21.0	0.06	43.03	20.856	1.0	887.13	0
FCFS()	22.0	0.06	36.57	21.942	1.0	812.57	0
FCFS()	23.0	0.06	44.1	23.31	1.0	1015.55	0
FCFS()	24.0	0.06	42.42	23.838	1.0	1019.97	0
FCFS()	25.0	0.06	46.22	25.326	1.0	1164.18	0
FCFS()	26.0	0.06	43.99	25.812	1.0	1130.96	0
FCFS()	27.0	0.06	46.53	26.688	1.0	1226.4	0
FCFS()	28.0	0.06	42.28	28.16	1.0	1195.36	0
FCFS()	29.0	0.06	41.28	28.653	1.0	1183.64	0
FCFS()	30.0	0.06	40.21	29.949	1.0	1205.56	0
Scheduler	Lambda	AvgST	AvgTA	TotalTP	CPU Util	Avg#ProcsInQ	Quantum
------------------------------------------------------------------------------------
HRRN()	1.0	0.06	0.07	0.993	0.06	0.07	0
HRRN()	2.0	0.06	0.07	1.972	0.12	0.13	0
HRRN()	3.0	0.06	0.07	3.002	0.18	0.22	0
HRRN()	4.0	0.06	0.08	4.046	0.24	0.29	0
HRRN()	5.0	0.06	0.08	4.997	0.3	0.41	0
HRRN()	6.0	0.06	0.09	6.053	0.36	0.54	0
HRRN()	7.0	0.06	0.09	6.973	0.41	0.64	0
HRRN()	8.0	0.06	0.11	8.107	0.49	0.84	0
HRRN()	9.0	0.06	0.12	9.08	0.55	1.07	0
HRRN()	10.0	0.06	0.13	9.916	0.59	1.24	0
HRRN()	11.0	0.06	0.14	11.092	0.67	1.52	0
HRRN()	12.0	0.06	0.16	12.004	0.72	1.92	0
HRRN()	13.0	0.06	0.23	13.229	0.8	3.07	0
HRRN()	14.0	0.06	0.26	13.96	0.83	3.78	0
HRRN()	15.0	0.06	0.34	14.916	0.9	5.03	0
HRRN()	16.0	0.06	1.21	16.367	0.97	19.8	0
HRRN()	17.0	0.06	2.81	16.979	1.0	48.41	0
HRRN()	18.0	0.06	7.46	17.975	1.0	140.03	0
HRRN()	19.0	0.06	13.84	19.019	1.0	277.68	0
HRRN()	20.0	0.06	18.14	20.004	1.0	404.8	0
HRRN()	21.0	0.06	20.49	21.092	1.0	485.91	0
HRRN()	22.0	0.06	21.69	22.32	1.0	569.29	0
HRRN()	23.0	0.06	20.86	23.175	1.0	578.44	0
HRRN()	24.0	0.06	22.11	23.927	1.0	635.42	0
HRRN()	25.0	0.06	24.0	25.417	1.0	776.16	0
HRRN()	26.0	0.06	22.4	26.191	1.0	737.21	0
HRRN()	27.0	0.06	22.59	27.215	1.0	799.23	0
HRRN()	28.0	0.06	21.54	28.201	1.0	799.54	0
HRRN()	29.0	0.06	21.88	28.962	1.0	847.84	0
HRRN()	30.0	0.06	21.96	29.244	1.0	860.83	0
Scheduler	Lambda	AvgST	AvgTA	TotalTP	CPU Util	Avg#ProcsInQ	Quantum
------------------------------------------------------------------------------------
SRTF()	1.0	0.06	0.06	0.999	0.06	0.06	0
SRTF()	2.0	0.06	0.06	2.004	0.12	0.13	0
SRTF()	3.0	0.06	0.07	3.035	0.18	0.2	0
SRTF()	4.0	0.06	0.07	3.976	0.24	0.28	0
SRTF()	5.0	0.06	0.07	4.984	0.3	0.36	0
SRTF()	6.0	0.06	0.07	5.98	0.36	0.44	0
SRTF()	7.0	0.06	0.08	6.937	0.42	0.56	0
SRTF()	8.0	0.06	0.09	8.045	0.49	0.7	0
SRTF()	9.0	0.06	0.08	8.94	0.53	0.74	0
SRTF()	10.0	0.06	0.1	10.227	0.62	0.98	0
SRTF()	11.0	0.06	0.1	10.92	0.65	1.14	0
SRTF()	12.0	0.06	0.12	11.974	0.72	1.39	0
SRTF()	13.0	0.06	0.14	12.998	0.79	1.77	0
SRTF()	14.0	0.06	0.15	14.085	0.82	2.06	0
SRTF()	15.0	0.06	0.2	14.93	0.9	3.05	0
SRTF()	16.0	0.06	0.28	15.971	0.96	4.41	0
SRTF()	17.0	0.06	0.59	16.969	0.99	16.77	0
SRTF()	18.0	0.06	0.77	17.99	1.0	77.7	0
SRTF()	19.0	0.06	1.05	18.778	1.0	128.8	0
SRTF()	20.0	0.06	1.06	19.923	1.0	207.34	0
SRTF()	21.0	0.06	0.87	20.82	1.0	242.77	0
SRTF()	22.0	0.06	0.8	22.122	1.0	322.0	0
SRTF()	23.0	0.06	0.61	22.836	1.0	336.88	0
SRTF()	24.0	0.06	0.61	24.495	1.0	438.33	0
SRTF()	25.0	0.06	0.66	25.132	1.0	444.01	0
SRTF()	26.0	0.06	0.73	25.87	1.0	508.43	0
SRTF()	27.0	0.06	0.66	26.736	1.0	546.75	0
SRTF()	28.0	0.06	1.13	28.425	1.0	591.46	0
SRTF()	29.0	0.06	1.2	29.642	1.0	655.59	0
SRTF()	30.0	0.06	0.87	29.925	1.0	670.55	0
Scheduler	Lambda	AvgST	AvgTA	TotalTP	CPU Util	Avg#ProcsInQ	Quantum
------------------------------------------------------------------------------------
RR()	1.0	0.06	0.06	0.993	0.06	0.06	0.01
RR()	2.0	0.06	0.07	1.976	0.12	0.1	0.01
RR()	3.0	0.06	0.07	2.984	0.18	0.14	0.01
RR()	4.0	0.06	0.07	3.984	0.24	0.17	0.01
RR()	5.0	0.06	0.07	4.924	0.29	0.2	0.01
RR()	6.0	0.06	0.07	5.71	0.34	0.23	0.01
RR()	7.0	0.06	0.07	6.565	0.39	0.26	0.01
RR()	8.0	0.06	0.08	7.29	0.44	0.28	0.01
