FCFS     	   1.0	          0.06	            0.064	     1.006	    0.06	         0.065	    0.0
FCFS     	   2.0	          0.06	            0.068	     1.994	    0.12	         0.132	    0.0
FCFS     	   3.0	          0.06	            0.073	     2.987	   0.178	         0.213	    0.0
FCFS     	   4.0	          0.06	            0.079	       4.0	   0.239	         0.308	    0.0
FCFS     	   5.0	          0.06	            0.084	     5.046	   0.298	         0.414	    0.0
FCFS     	   6.0	          0.06	            0.092	     5.993	   0.359	         0.552	    0.0
FCFS     	   7.0	          0.06	            0.106	     7.051	   0.425	         0.755	    0.0
FCFS     	   8.0	          0.06	            0.118	     7.888	   0.486	         0.918	    0.0
FCFS     	   9.0	          0.06	            0.137	     9.115	   0.549	         1.257	    0.0
FCFS     	  10.0	          0.06	            0.155	     10.02	   0.613	         1.515	    0.0
FCFS     	  11.0	          0.06	            0.188	    11.275	   0.678	         2.115	    0.0
FCFS     	  12.0	          0.06	            0.203	    11.993	    0.72	         2.426	    0.0
FCFS     	  13.0	          0.06	            0.281	    13.174	   0.787	         3.621	    0.0
FCFS     	  14.0	          0.06	            0.319	    13.918	   0.818	          4.42	    0.0
FCFS     	  15.0	          0.06	            0.593	      15.1	   0.902	         9.074	    0.0
FCFS     	  16.0	          0.06	            1.548	    15.839	   0.971	        24.342	    0.0
FCFS     	  17.0	          0.06	            8.357	    16.695	   1.012	       139.611	    0.0
FCFS     	  18.0	          0.06	           21.086	     16.69	   1.071	       382.058	    0.0
FCFS     	  19.0	          0.06	           33.011	    16.679	   1.157	       645.429	    0.0
FCFS     	  20.0	          0.06	           53.837	    16.365	   1.202	      1065.165	    0.0
FCFS     	  21.0	          0.06	           69.686	    16.538	   1.263	      1455.136	    0.0
FCFS     	  22.0	          0.06	           78.383	    16.584	   1.323	      1735.043	    0.0
FCFS     	  23.0	          0.06	           87.263	    16.528	   1.392	      1995.085	    0.0
FCFS     	  24.0	          0.06	           95.932	    16.687	   1.441	      2268.911	    0.0
FCFS     	  25.0	          0.06	           98.572	    16.801	   1.498	      2452.121	    0.0
FCFS     	  26.0	          0.06	          107.462	    16.616	   1.551	      2760.198	    0.0
FCFS     	  27.0	          0.06	          115.373	    16.835	   1.614	       3117.74	    0.0
FCFS     	  28.0	          0.06	          119.131	    16.574	   1.661	      3320.803	    0.0
FCFS     	  29.0	          0.06	          131.581	    16.565	   1.764	      3814.059	    0.0
FCFS     	  30.0	          0.06	          135.021	    16.609	   1.818	      4089.383	    0.0
SRTF     	   1.0	          0.06	            0.062	     0.988	    0.06	         0.059	    0.0
SRTF     	   2.0	          0.06	            0.065	     1.987	    0.12	         0.128	    0.0
SRTF     	   3.0	          0.06	            0.067	      3.03	   0.183	         0.207	    0.0
SRTF     	   4.0	          0.06	            0.067	     3.967	   0.234	         0.264	    0.0
SRTF     	   5.0	          0.06	            0.073	     4.966	   0.303	          0.37	    0.0
SRTF     	   6.0	          0.06	            0.074	     6.062	   0.361	         0.445	    0.0
SRTF     	   7.0	          0.06	            0.081	     7.045	   0.429	         0.576	    0.0
SRTF     	   8.0	          0.06	            0.084	     8.007	   0.484	         0.659	    0.0
SRTF     	   9.0	          0.06	            0.088	     8.958	   0.536	         0.787	    0.0
SRTF     	  10.0	          0.06	            0.097	      9.98	   0.603	         0.964	    0.0
SRTF     	  11.0	          0.06	            0.105	    11.036	   0.665	         1.153	    0.0
SRTF     	  12.0	          0.06	            0.113	    11.995	   0.714	         1.358	    0.0
SRTF     	  13.0	          0.06	            0.128	    12.803	   0.769	         1.622	    0.0
SRTF     	  14.0	          0.06	            0.153	    13.934	   0.832	          2.13	    0.0
SRTF     	  15.0	          0.06	            0.226	      15.0	   0.901	         3.421	    0.0
SRTF     	  16.0	          0.06	            0.409	    15.871	   0.966	          6.64	    0.0
SRTF     	  17.0	          0.06	            0.756	    16.972	   1.017	        22.801	    0.0
SRTF     	  18.0	          0.06	            0.758	    17.774	   1.126	       113.737	    0.0
SRTF     	  19.0	          0.06	            0.892	    18.388	    1.13	       135.337	    0.0
SRTF     	  20.0	          0.06	            0.731	    19.279	   1.195	       205.479	    0.0
SRTF     	  21.0	          0.06	            0.723	    19.836	   1.248	       252.385	    0.0
SRTF     	  22.0	          0.06	            0.847	    20.649	   1.332	        362.87	    0.0
SRTF     	  23.0	          0.06	              1.1	    21.124	   1.391	       461.225	    0.0
SRTF     	  24.0	          0.06	            0.743	    21.978	   1.488	       559.986	    0.0
SRTF     	  25.0	          0.06	            0.611	    22.455	   1.468	        517.93	    0.0
SRTF     	  26.0	          0.06	            0.749	    23.053	   1.546	       624.039	    0.0
SRTF     	  27.0	          0.06	            0.779	    23.524	   1.608	       710.908	    0.0
SRTF     	  28.0	          0.06	            1.168	    23.892	   1.653	       756.738	    0.0
SRTF     	  29.0	          0.06	            1.274	    24.612	   1.751	       891.621	    0.0
SRTF     	  30.0	          0.06	             0.88	    25.529	    1.83	       968.311	    0.0
HRRN     	   1.0	          0.06	            0.064	     0.998	   0.061	         0.062	    0.0
HRRN     	   2.0	          0.06	            0.069	     1.983	    0.12	         0.141	    0.0
HRRN     	   3.0	          0.06	            0.072	     3.048	   0.181	         0.215	    0.0
HRRN     	   4.0	          0.06	             0.08	     4.009	    0.24	         0.328	    0.0
HRRN     	   5.0	          0.06	            0.085	     4.963	   0.294	         0.429	    0.0
HRRN     	   6.0	          0.06	            0.094	     5.951	   0.358	         0.561	    0.0
HRRN     	   7.0	          0.06	            0.103	     6.904	   0.411	         0.725	    0.0
HRRN     	   8.0	          0.06	            0.117	     8.083	   0.479	         0.962	    0.0
HRRN     	   9.0	          0.06	             0.13	     8.918	   0.539	         1.173	    0.0
HRRN     	  10.0	          0.06	            0.143	      9.82	   0.597	          1.38	    0.0
HRRN     	  11.0	          0.06	            0.183	    10.983	   0.668	         1.983	    0.0
HRRN     	  12.0	          0.06	            0.202	    11.693	   0.709	         2.362	    0.0
HRRN     	  13.0	          0.06	            0.244	    12.886	   0.759	         3.149	    0.0
HRRN     	  14.0	          0.06	            0.322	    13.799	   0.829	         4.423	    0.0
HRRN     	  15.0	          0.06	            0.495	    14.843	    0.88	         7.349	    0.0
HRRN     	  16.0	          0.06	            1.296	    15.882	   0.942	         20.98	    0.0
HRRN     	  17.0	          0.06	             2.93	    16.943	   1.006	        65.738	    0.0
HRRN     	  18.0	          0.06	            0.724	    16.795	   1.069	       400.146	    0.0
HRRN     	  19.0	          0.06	            0.462	    16.692	   1.151	       794.499	    0.0
HRRN     	  20.0	          0.06	            0.356	    16.625	   1.221	      1071.936	    0.0
HRRN     	  21.0	          0.06	            0.266	    16.401	   1.285	      1414.058	    0.0
HRRN     	  22.0	          0.06	            0.252	    16.559	   1.325	      1683.283	    0.0
HRRN     	  23.0	          0.06	            0.217	    16.903	   1.367	      1783.774	    0.0
HRRN     	  24.0	          0.06	            0.201	     16.83	   1.436	      2221.807	    0.0
